status,package,source_folder,display_name,batch,source_path,processed_path,backup_path,replacement_format
done,actors-artists,gemini,jackson pollock,batch_0003,actors-artists/gemini/jackson pollock,photoroom_processed/actors-artists/gemini/jackson pollock.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jackson pollock,.png
done,actors-artists,gemini,jacques-louis david,batch_0003,actors-artists/gemini/jacques-louis david,photoroom_processed/actors-artists/gemini/jacques-louis david.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jacques-louis david,.png
done,actors-artists,gemini,jasper johns,batch_0003,actors-artists/gemini/jasper johns,photoroom_processed/actors-artists/gemini/jasper johns.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jasper johns,.png
done,actors-artists,gemini,jean arp,batch_0003,actors-artists/gemini/jean arp,photoroom_processed/actors-artists/gemini/jean arp.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jean arp,.png
done,actors-artists,gemini,jean-michel basquiat,batch_0003,actors-artists/gemini/jean-michel basquiat,photoroom_processed/actors-artists/gemini/jean-michel basquiat.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jean-michel basquiat,.png
done,actors-artists,gemini,jeff koons,batch_0003,actors-artists/gemini/jeff koons,photoroom_processed/actors-artists/gemini/jeff koons.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jeff koons,.png
done,actors-artists,gemini,jeff wall,batch_0003,actors-artists/gemini/jeff wall,photoroom_processed/actors-artists/gemini/jeff wall.png,photoroom_original_backups/batch_0003/actors-artists/gemini/jeff wall,.png
done,actors-artists,gemini,joan mitchell,batch_0003,actors-artists/gemini/joan mitchell,photoroom_processed/actors-artists/gemini/joan mitchell.png,photoroom_original_backups/batch_0003/actors-artists/gemini/joan mitchell,.png
done,actors-artists,gemini,john olsen,batch_0003,actors-artists/gemini/john olsen,photoroom_processed/actors-artists/gemini/john olsen.png,photoroom_original_backups/batch_0003/actors-artists/gemini/john olsen,.png
done,actors-artists,gemini,julian schnabel,batch_0003,actors-artists/gemini/julian schnabel,photoroom_processed/actors-artists/gemini/julian schnabel.png,photoroom_original_backups/batch_0003/actors-artists/gemini/julian schnabel,.png
